               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  81,            0.013798,            0.010227,                   0,              0.9233,             0.85677,             0.88617,             0.58137,            0.030514,           0.0079117,                   0,             0.00208,             0.00208,             0.00208
                  82,            0.012575,           0.0091795,                   0,             0.89773,             0.87466,             0.89701,              0.5925,            0.030056,           0.0081655,                   0,            0.001981,            0.001981,            0.001981
                  83,            0.013465,           0.0098234,                   0,             0.92383,             0.86477,             0.89402,             0.57782,            0.030515,           0.0082084,                   0,            0.001882,            0.001882,            0.001882
                  84,            0.013218,           0.0090361,                   0,             0.92791,             0.88256,             0.89339,             0.57681,            0.030905,           0.0081467,                   0,            0.001783,            0.001783,            0.001783
                  85,            0.013163,           0.0093063,                   0,             0.91203,             0.86833,             0.89489,             0.58814,            0.030391,           0.0082931,                   0,            0.001684,            0.001684,            0.001684
                  86,            0.012243,           0.0094445,                   0,             0.87618,             0.86121,             0.88364,               0.581,            0.031486,           0.0083453,                   0,            0.001585,            0.001585,            0.001585
                  87,            0.013084,           0.0094708,                   0,             0.92344,             0.87189,             0.89943,             0.58915,            0.030379,           0.0080857,                   0,            0.001486,            0.001486,            0.001486
                  88,            0.012071,            0.008901,                   0,             0.93507,             0.86121,             0.89638,             0.58885,             0.03063,           0.0083284,                   0,            0.001387,            0.001387,            0.001387
                  89,            0.012655,           0.0094321,                   0,              0.9165,             0.86833,             0.89301,             0.58972,            0.029701,           0.0081597,                   0,            0.001288,            0.001288,            0.001288
                  90,            0.012469,           0.0092951,                   0,             0.92097,             0.87091,             0.89835,             0.58868,            0.029968,           0.0080907,                   0,            0.001189,            0.001189,            0.001189
                  91,            0.013208,           0.0094146,                   0,             0.93874,             0.86833,             0.90152,             0.59815,            0.029835,            0.008234,                   0,             0.00109,             0.00109,             0.00109
                  92,            0.012603,           0.0094914,                   0,             0.92557,             0.86477,             0.89723,             0.59206,            0.030203,           0.0081441,                   0,            0.000991,            0.000991,            0.000991
                  93,             0.01166,            0.009215,                   0,             0.91334,             0.87189,             0.89312,             0.59269,            0.030757,           0.0080752,                   0,            0.000892,            0.000892,            0.000892
                  94,            0.011927,           0.0085948,                   0,             0.92927,               0.879,              0.9002,             0.59804,            0.031009,           0.0082321,                   0,            0.000793,            0.000793,            0.000793
                  95,            0.012291,           0.0091632,                   0,             0.92596,             0.88256,             0.89701,             0.59986,            0.030018,           0.0080295,                   0,            0.000694,            0.000694,            0.000694
                  96,            0.011802,           0.0088907,                   0,             0.91683,               0.879,             0.89564,             0.59384,            0.029838,           0.0081606,                   0,            0.000595,            0.000595,            0.000595
                  97,            0.011426,           0.0087249,                   0,             0.91087,             0.87189,             0.89489,             0.59953,            0.030413,           0.0080122,                   0,            0.000496,            0.000496,            0.000496
                  98,             0.01099,           0.0087769,                   0,             0.91298,             0.88612,             0.89782,             0.60231,            0.030098,           0.0080947,                   0,            0.000397,            0.000397,            0.000397
                  99,            0.012381,           0.0087246,                   0,             0.92153,             0.87544,             0.89478,             0.59851,            0.030051,           0.0080799,                   0,            0.000298,            0.000298,            0.000298
